content,rating,created_at,product_id
质量非常好穿着很舒服颜色也很正,5,2026-05-07,SKU001
物流太慢等了一个星期才到,2,2026-05-08,SKU001
还行吧一般般没什么特别的,3,2026-05-09,SKU001
客服态度很差问了几次都不回复,1,2026-05-10,SKU001
性价比很高这个价格买到这样的质量很划算,5,2026-05-11,SKU001
颜色和图片差太多了完全两个颜色,2,2026-05-12,SKU001
很满意已经是第二次购买了,5,2026-05-13,SKU001
尺码偏小平时穿L码这个XL都紧,2,2026-05-14,SKU001
包装很好发货也快好评,5,2026-05-15,SKU001
面料起球严重洗了一次就不能穿了,1,2026-05-16,SKU001
还可以对得起这个价格,3,2026-05-17,SKU001
发货速度很快第二天就到了,5,2026-05-18,SKU001
收到货有破损联系客服不处理,1,2026-05-19,SKU001
挺好的跟描述一样,4,2026-05-20,SKU001
掉色严重把其他衣服都染了,1,2026-05-21,SKU001
非常好看朋友都说不错,5,2026-05-22,SKU001
穿了两天就开线了质量堪忧,1,2026-05-23,SKU001
物流快包装好质量也不错,5,2026-05-24,SKU001
裙子很显瘦同事都说好看,5,2026-05-25,SKU001
穿起来很凉快夏天必备,5,2026-05-26,SKU001
降噪效果很不错地铁上基本听不到噪音,5,2026-05-07,SKU002
音质很好低音浑厚高音清晰,5,2026-05-08,SKU002
戴两个小时耳朵也不疼佩戴舒适,5,2026-05-09,SKU002
蓝牙连接很稳定隔墙也不会断连,4,2026-05-10,SKU002
用了三天就坏了按键失灵质量太差,1,2026-05-11,SKU002
通话质量一般对方说声音有点闷,3,2026-05-12,SKU002
续航很强充一次电用了一周还有电,5,2026-05-13,SKU002
耳塞容易掉送的三副都不太合适,2,2026-05-14,SKU002
这个价格无敌了性价比超高,5,2026-05-15,SKU002
包装简陋盒子都压扁了,2,2026-05-16,SKU002
音质一般不如我之前的耳机,3,2026-05-17,SKU002
比实体店便宜多了值得购买,5,2026-05-18,SKU002
降噪几乎没有效果退货,1,2026-05-19,SKU002
外观好看时尚百搭,5,2026-05-20,SKU002
用了半个月左耳没声音了,1,2026-05-21,SKU002
客服回复很快态度好,5,2026-05-22,SKU002
坚果很新鲜颗颗饱满没有坏果,5,2026-05-07,SKU003
包装很用心防潮做得很好,5,2026-05-08,SKU003
味道不错原味的能吃到坚果本身的香味,5,2026-05-09,SKU003
日期很新鲜还有半年保质期,5,2026-05-10,SKU003
夏威夷果最好吃奶油味很浓,5,2026-05-11,SKU003
有一包开心果受潮了不脆了,2,2026-05-12,SKU003
分量比想象中少罐子很大但装得不满,3,2026-05-13,SKU003
太贵了完全不值这个价,1,2026-05-14,SKU003
送礼很合适包装上档次,5,2026-05-15,SKU003
第三次回购了质量一直很好,5,2026-05-16,SKU003
巴旦木有点哈喇味不够新鲜,2,2026-05-17,SKU003
物流慢坚果都碎了,1,2026-05-18,SKU003
搞活动买的比平时便宜了不少囤了两件,5,2026-05-19,SKU003
一般般没有特别惊喜,3,2026-05-20,SKU003
