content,rating,created_at,product_id
凑合能用对得起价格#0,3,2026-05-25,SKU001
包装用心防潮好#1,5,2026-04-09,SKU001
退货各种刁难#2,2,2026-05-19,SKU001
发货很快第二天到#3,5,2026-04-09,SKU001
还行吧一般般没啥惊喜#4,3,2026-04-20,SKU001
这家最实惠#5,5,2026-05-24,SKU001
加微信xxx领优惠券#6,5,2026-05-19,SKU001
包装破损盒子压变形#7,1,2026-04-14,SKU001
款式好看穿着很舒服#8,5,2026-04-05,SKU001
音质好低音浑厚高音清晰#9,5,2026-05-15,SKU001
退货各种刁难#10,2,2026-05-26,SKU001
穿着很显瘦同事说好看#11,5,2026-05-15,SKU001
佩戴舒适戴两小时不疼#12,5,2026-04-26,SKU001
搞活动买的比平时便宜#13,5,2026-05-08,SKU001
加微信xxx领优惠券#14,5,2026-04-29,SKU001
降噪效果很不错地铁基本听不到噪音#15,5,2026-05-23,SKU001
有包开心果受潮不脆#16,1,2026-04-27,SKU001
坚果很新鲜颗颗饱满#17,5,2026-04-25,SKU001
质量太差穿两次就开线#18,2,2026-04-20,SKU001
实物颜色很暗不亮#19,2,2026-05-13,SKU001
太贵了不值这个价#20,3,2026-04-07,SKU001
客服态度好回复快#21,5,2026-04-15,SKU001
线头到处都是做工粗糙#22,1,2026-04-02,SKU001
一般般有好有坏给中评#23,3,2026-05-05,SKU001
穿着很显瘦同事说好看#24,4,2026-05-10,SKU001
还行吧一般般没啥惊喜#25,3,2026-04-14,SKU001
中规中矩没什么特别#26,3,2026-05-06,SKU001
一般般有好有坏给中评#27,3,2026-05-09,SKU001
凑合能用对得起价格#28,3,2026-05-31,SKU001
很满意老顾客了#29,5,2026-05-20,SKU001
这个价位很良心#30,5,2026-04-25,SKU001
不错符合预期#31,5,2026-04-15,SKU001
穿了一个月没变形#32,5,2026-05-07,SKU001
做工扎实用料好#33,4,2026-04-24,SKU001
凑合能用对得起价格#34,3,2026-05-22,SKU001
蓝牙连接稳定隔墙不断连#35,5,2026-04-02,SKU001
客服有耐心解答#36,5,2026-04-23,SKU001
款式好看穿着很舒服#37,4,2026-05-23,SKU001
不值这个价后悔买#38,2,2026-05-15,SKU001
搞活动买的比平时便宜#39,5,2026-06-01,SKU001
还可以基本满足需求#40,3,2026-04-29,SKU001
款式好看穿着很舒服#41,4,2026-04-26,SKU001
材质好摸着舒服#42,4,2026-04-06,SKU001
外观好看功能齐全#43,5,2026-04-12,SKU001
蓝牙连接稳定隔墙不断连#44,5,2026-04-06,SKU001
性价比很高很划算#45,5,2026-04-20,SKU001
